**************************** 3/4/2007 12:00:00 AM ***********************************
Time: 2007-03-04 14:23:24 | Procedure Name: AddAddress | Error: ExecuteNonQuery: Connection property has not been initialized.
Time: 2007-06-02 09:56:44 | Procedure Name: GetSalesOrderHeaderCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 09:56:52 | Procedure Name: GetSalesOrderDetailCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 09:56:54 | Procedure Name: GetAddressDataSet | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 09:56:57 | Procedure Name: GetSalesInvoiceHeadersCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 10:22:40 | Procedure Name: GetAllCustomersCollection | Error: ExecuteReader: Connection property has not been initialized.
Time: 2007-06-02 10:22:41 | Procedure Name: GetAllCustomerCollection | Error: Object reference not set to an instance of an object.
Time: 2007-06-02 10:23:29 | Procedure Name: GetSalesOrderHeaderCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 10:23:36 | Procedure Name: GetSalesOrderDetailCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 10:23:45 | Procedure Name: GetAddressDataSet | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 10:23:46 | Procedure Name: GetSalesInvoiceHeadersCollection | Error: An error has occurred while establishing a connection to the server.  When connecting to SQL Server 2005, this failure may be caused by the fact that under the default settings SQL Server does not allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
Time: 2007-06-02 10:26:21 | Procedure Name: GetAllCustomersCollection | Error: ExecuteReader: Connection property has not been initialized.
Time: 2007-06-02 10:26:21 | Procedure Name: GetAllCustomerCollection | Error: Object reference not set to an instance of an object.
Time: 2007-06-02 10:26:32 | Procedure Name: GetSalesOrderHeaderCollection | Error: Login failed for user 'sa'. Reason: The account is disabled.
Time: 2007-06-02 10:26:39 | Procedure Name: GetSalesOrderDetailCollection | Error: Login failed for user 'sa'. Reason: The account is disabled.
Time: 2007-06-02 10:26:43 | Procedure Name: GetAddressDataSet | Error: Login failed for user 'sa'. Reason: The account is disabled.
Time: 2007-06-02 10:26:45 | Procedure Name: GetSalesInvoiceHeadersCollection | Error: Login failed for user 'sa'. Reason: The account is disabled.
